,0
0,0.026518555
1,0.12579548
2,0.13737276
3,0.15079874
4,0.14666897
5,0.13403259
6,0.106083006
7,0.09157851
8,0.06577779
9,0.05120106
10,0.061650313
11,0.05896687
12,0.06437561
13,0.07938049
14,0.09220083
15,0.110354334
16,0.10822289
17,0.12551767
18,0.11796587
19,0.13556966
20,0.120991096
21,0.09088768
22,0.12744433
23,0.117534146
24,0.113243446
25,0.13752106
26,0.13801476
27,0.14708051
28,0.12302785
29,0.09895581
30,0.0904945
31,0.077013895
32,0.072578
33,0.06153722
34,0.063390404
35,0.04429134
36,0.012797277
37,0.016604125
38,0.012809511
39,0.01189772
40,0.0098134875
41,0.020295978
42,0.027694574
43,0.03244178
44,0.05205614
45,0.057394236
46,0.03412091
47,0.057043217
48,0.056774378
49,0.022712873
50,0.024742652
51,0.017207745
52,0.014559478
53,0.009113446
54,0.010556735
55,0.04039525
56,0.049597085
57,0.0571424
58,0.063004285
59,0.06129832
60,0.06298833
61,0.06230142
62,0.051754564
63,0.054485373
64,0.05086012
65,0.069498986
66,0.045780152
67,0.03803315
68,0.045896735
69,0.06648708
70,0.074869566
71,0.055467054
72,0.05519168
73,0.068115875
74,0.05798238
75,0.0637231
76,0.07134251
77,0.065364614
78,0.05631858
79,0.057172544
80,0.06349265
81,0.052565716
82,0.0490207
83,0.059006646
84,0.057684124
85,0.06780206
86,0.06495165
87,0.07549178
88,0.040484212
89,0.03800152
90,0.052197803
91,0.023130571
92,0.04780092
93,0.024040774
94,0.037256606
95,0.03699884
96,0.04145468
97,0.042826958
98,0.039947957
99,0.051141337
100,0.06540761
101,0.059124604
102,0.070466585
103,0.07382974
104,0.082789056
105,0.0746952
106,0.053918816
107,0.052464806
108,0.047154244
109,0.0
110,0.007450953
111,0.037532676
112,0.043489814
113,0.041496083
114,0.04708159
115,0.051938646
116,0.049375698
117,0.051367406
118,0.044108965
119,0.05662202
120,0.066491365
121,0.08060672
122,0.07958707
123,0.09969999
124,0.09662987
125,0.08085172
126,0.08624326
127,0.09558025
128,0.13554105
129,0.12583685
130,0.16919234
131,0.1706921
132,0.14913851
133,0.124373786
134,0.14566043
135,0.12486488
136,0.08128944
137,0.07717699
138,0.06380982
139,0.11450109
140,0.14374006
141,0.1592384
142,0.16797173
143,0.181959
144,0.151979
145,0.13208133
146,0.14591624
147,0.13680336
148,0.13860947
149,0.11891238
150,0.14449939
151,0.15527359
