,0
0,0.687068521976471
1,0.7968371510505676
2,0.786976158618927
3,0.73785001039505
4,0.373675137758255
5,0.6439171433448792
6,0.8100076913833618
7,0.7790632843971252
8,0.47634634375572205
9,0.7684648633003235
10,0.7777218222618103
11,0.7392534017562866
12,0.7468354105949402
13,0.7481783628463745
14,0.6501345634460449
15,0.3527339994907379
16,0.4474385678768158
17,0.43071866035461426
18,0.6799686551094055
19,0.7634485363960266
20,0.7147917151451111
21,0.6557445526123047
22,0.3518345057964325
23,0.4737725257873535
24,0.7359413504600525
25,0.7791666388511658
26,0.7294186949729919
27,0.7478627562522888
28,0.726937472820282
29,0.7332487106323242
30,0.7346811890602112
31,0.746508777141571
32,0.7721697092056274
33,0.7614678740501404
34,0.691196858882904
35,0.6681644320487976
36,0.6573948860168457
37,0.705509603023529
38,0.717424750328064
39,0.618876039981842
40,0.4872935116291046
41,0.26984772086143494
42,0.36100447177886963
43,0.30326196551322937
44,0.331841379404068
45,0.30299147963523865
46,0.37713125348091125
47,0.3502427339553833
48,0.3093125820159912
49,0.33894506096839905
50,0.40079784393310547
51,0.5998720526695251
52,0.4667269289493561
53,0.4940832555294037
54,0.4588398337364197
55,0.47916901111602783
56,0.4780680239200592
57,0.380893737077713
58,0.3726150393486023
59,0.3455727994441986
60,0.27129510045051575
61,0.26759499311447144
62,0.4769154489040375
63,0.41043758392333984
64,0.31458693742752075
65,0.3156755268573761
66,0.2738255560398102
67,0.2886917293071747
68,0.29112717509269714
69,0.26749053597450256
70,0.2916220724582672
71,0.27942365407943726
72,0.3419051766395569
73,0.4505552351474762
74,0.5085904598236084
75,0.4473300874233246
76,0.34139156341552734
77,0.238801509141922
78,0.24893538653850555
79,0.3085739314556122
80,0.4552963078022003
81,0.5688647627830505
82,0.5777012705802917
83,0.6043792366981506
84,0.6750642657279968
85,0.6767508387565613
86,0.6607210040092468
87,0.6208983659744263
88,0.4923071563243866
89,0.5880970358848572
90,0.7101933360099792
91,0.4086892306804657
92,0.6066780686378479
93,0.49527278542518616
94,0.5206010937690735
95,0.5168077945709229
96,0.8276495933532715
97,0.7551396489143372
98,0.42110052704811096
99,0.516322910785675
100,0.6390027403831482
101,0.7468533515930176
102,0.765408992767334
103,0.7622623443603516
104,0.41328075528144836
105,0.7317996621131897
106,0.4521503150463104
107,0.518295407295227
108,0.48747631907463074
109,0.4937123954296112
110,0.48707762360572815
111,0.47205260396003723
112,0.49097946286201477
113,0.470389723777771
114,0.4542747437953949
115,0.43234291672706604
116,0.4265845715999603
117,0.12395374476909637
118,0.42758414149284363
119,0.32321086525917053
120,0.4075314700603485
121,0.31352701783180237
122,0.23702305555343628
123,0.2058621644973755
124,0.3877650797367096
125,0.20181579887866974
126,0.22933951020240784
127,0.17707395553588867
128,0.2533215284347534
129,0.17737992107868195
130,0.3130737543106079
131,0.15068773925304413
132,0.1319616138935089
133,0.09524273872375488
134,0.0716124027967453
135,0.0761323869228363
136,0.06265914440155029
137,0.07892143726348877
138,0.06948332488536835
139,0.08456741273403168
140,0.05084792152047157
141,0.027375590056180954
142,0.06332281231880188
143,0.0586777999997139
144,0.07611659169197083
145,0.10131758451461792
146,0.06909798085689545
147,0.13692335784435272
148,0.0888330489397049
149,0.13016541302204132
150,0.1757843792438507
151,0.15372714400291443
152,0.13121940195560455
153,0.1683611124753952
154,0.22683003544807434
155,0.2846392095088959
156,0.27920782566070557
157,0.22211486101150513
158,0.17713090777397156
159,0.1687704175710678
160,0.24479159712791443
161,0.3740101754665375
162,0.4015675485134125
163,0.3076834976673126
164,0.24410009384155273
165,0.2697685658931732
166,0.3501041829586029
167,0.3411335051059723
168,0.24922293424606323
169,0.30179300904273987
170,0.3569371998310089
171,0.3047235310077667
172,0.3048240542411804
173,0.32074373960494995
174,0.23720747232437134
175,0.2451627403497696
176,0.24393421411514282
177,0.2447395622730255
178,0.2624533772468567
179,0.3002922236919403
180,0.3253946900367737
181,0.2565215229988098
182,0.26889389753341675
183,0.27435001730918884
184,0.2479677051305771
185,0.20707377791404724
186,0.18841591477394104
