,0
0,0.67626333
1,0.78106415
2,0.77693415
3,0.7379959
4,0.40715635
5,0.6712909
6,0.7599247
7,0.75006753
8,0.5134461
9,0.7811787
10,0.74194753
11,0.7481172
12,0.74704635
13,0.74741715
14,0.6728531
15,0.40231204
16,0.47684193
17,0.45151228
18,0.67182803
19,0.7228762
20,0.706668
21,0.6697751
22,0.3880248
23,0.49269125
24,0.71036375
25,0.73599887
26,0.7256343
27,0.7435076
28,0.723956
29,0.73336023
30,0.73222363
31,0.74350005
32,0.76477486
33,0.7573199
34,0.706119
35,0.6865863
36,0.6701926
37,0.7039098
38,0.7107547
39,0.641891
40,0.52953255
41,0.31494752
42,0.39471012
43,0.3364802
44,0.3536611
45,0.32990184
46,0.38403744
47,0.367045
48,0.32834452
49,0.35119218
50,0.39926815
51,0.560696
52,0.46899796
53,0.4897001
54,0.46480173
55,0.47530174
56,0.47798008
57,0.40049455
58,0.38876924
59,0.36417615
60,0.2970661
61,0.29314822
62,0.46161374
63,0.42021543
64,0.3379172
65,0.33595294
66,0.29643962
67,0.306585
68,0.3076825
69,0.2870438
70,0.30483788
71,0.294416
72,0.34135002
73,0.42934263
74,0.48082593
75,0.44241333
76,0.35987395
77,0.267876
78,0.2755532
79,0.31915855
80,0.4341564
81,0.5292
82,0.54768753
83,0.579016
84,0.64018774
85,0.6483754
86,0.64828616
87,0.6228282
88,0.5188225
89,0.5907956
90,0.67782474
91,0.41980022
92,0.6012728
93,0.49719006
94,0.51863587
95,0.5170319
96,0.79276717
97,0.71726966
98,0.46788087
99,0.53076375
100,0.62005895
101,0.70383126
102,0.7323597
103,0.7446778
104,0.431463
105,0.75196445
106,0.45396537
107,0.53435946
108,0.49864683
109,0.49874997
110,0.49486744
111,0.48077905
112,0.49420264
113,0.47857112
114,0.4639279
115,0.44312453
116,0.43633127
117,0.110515796
118,0.4520992
119,0.35897171
120,0.41370115
121,0.3458135
122,0.2679383
123,0.24107319
124,0.38558692
125,0.22870389
126,0.26317653
127,0.21194533
128,0.27259603
129,0.2039825
130,0.3140257
131,0.17219314
132,0.17088908
133,0.13240719
134,0.11004628
135,0.106591746
136,0.08605626
137,0.097916946
138,0.08321834
139,0.09643991
140,0.062133126
141,0.042405155
142,0.07252806
143,0.06282126
144,0.080235265
145,0.10177732
146,0.072468765
147,0.13829483
148,0.090108186
149,0.13499638
150,0.1650576
151,0.15002382
152,0.13755116
153,0.16811082
154,0.2150192
155,0.26512364
156,0.26697534
157,0.22383189
158,0.18892732
159,0.18380994
160,0.2452054
161,0.34592444
162,0.37708735
163,0.30919915
164,0.2581485
165,0.27967396
166,0.3405293
167,0.33902788
168,0.26553884
169,0.30794507
170,0.35119545
171,0.31246978
172,0.31227106
173,0.32505462
174,0.2562512
175,0.26365876
176,0.26085988
177,0.25930837
178,0.27365756
179,0.30232158
180,0.3229286
181,0.2700834
182,0.27957952
183,0.28407592
184,0.2604646
185,0.22653806
186,0.21031108
187,0.24511349
188,0.182336
189,0.18604502
190,0.15688325
191,0.17007884
192,0.15722132
193,0.14416578
194,0.15351668
195,0.13742124
196,0.12778887
197,0.11580582
198,0.09567329
199,0.10693946
200,0.104964785
201,0.10752102
202,0.11408432
203,0.16872007
204,0.25088227
205,0.2996843
206,0.2931599
207,0.28262004
208,0.3584034
209,0.36918145
210,0.34392095
211,0.37878633
212,0.34558597
213,0.36556333
214,0.32890677
215,0.30589002
216,0.32771474
217,0.36085883
218,0.3744542
219,0.3728342
220,0.36781248
221,0.33650184
222,0.36353052
223,0.37287444
224,0.3565624
225,0.30179414
226,0.2993762
227,0.22894156
228,0.2581441
229,0.2462666
230,0.26409104
231,0.2647018
232,0.29564658
233,0.31845844
234,0.28874388
235,0.27752477
236,0.33890608
237,0.3812236
238,0.40149033
239,0.34302685
240,0.44652823
241,0.4400558
242,0.37364453
243,0.4437574
244,0.3780253
245,0.4056582
246,0.41363025
247,0.39924517
248,0.45440194
249,0.4132033
250,0.36413264
251,0.43250716
252,0.43810406
253,0.418477
254,0.3804738
255,0.4122187
256,0.47257292
257,0.5413805
258,0.50307274
259,0.5057327
260,0.5707766
261,0.57542425
262,0.58293957
263,0.6113613
264,0.64258015
265,0.6959804
266,0.770007
267,0.7904674
268,0.80675143
269,0.8125526
270,0.8203257
271,0.7941781
272,0.8110548
273,0.8291923
274,0.826723
275,0.7970046
276,0.8326647
277,0.8413651
278,0.80565715
279,0.8749786
280,0.87546897
281,0.8850777
282,0.8578899
283,0.8715238
284,0.89701855
285,0.90005237
286,0.89666766
287,0.90727854
288,0.89532816
289,0.9121971
290,0.88292754
291,0.88802695
292,0.88087296
293,0.87307537
294,0.8674308
295,0.86883897
296,0.84644085
297,0.8346597
298,0.82129
299,0.8452083
300,0.850456
301,0.8524865
302,0.8484366
303,0.8362975
304,0.85217965
305,0.83066005
306,0.83239394
307,0.8026518
308,0.8514385
309,0.8475941
310,0.83216596
311,0.8110135
312,0.8378774
313,0.86059123
314,0.8876022
315,0.8724748
316,0.878582
317,0.5220576
318,0.8996036
319,0.8528149
320,0.8558395
321,0.8714605
322,0.88354063
323,0.86661714
324,0.8517131
325,0.8161825
326,0.8246509
327,0.83656836
328,0.7999705
329,0.815452
330,0.80835915
331,0.8740773
332,0.8708724
333,0.8621167
334,0.8569807
335,0.8619758
336,0.8402269
337,0.84381336
338,0.86906075
339,0.86524117
340,0.8668357
341,0.8615298
342,0.8462059
343,0.8120443
344,0.8116738
345,0.73359674
346,0.7222628
347,0.7085072
348,0.6968089
349,0.6878762
350,0.67082644
351,0.7349067
352,0.77598095
353,0.70488626
354,0.7141332
355,0.75353426
356,0.7754576
357,0.76784074
358,0.794541
359,0.7806058
360,0.74109644
361,0.75376827
362,0.76322293
363,0.8082065
364,0.7583437
365,0.7101011
366,0.7260786
367,0.76912516
368,0.7319186
369,0.734599
370,0.6446647
371,0.63833743
372,0.6248597
373,0.67331815
374,0.6859627
375,0.7282835
376,0.6796679
377,0.6792823
378,0.54490304
379,0.5126074
380,0.5479309
381,0.618592
382,0.71373475
383,0.7146697
384,0.69446653
385,0.6492291
386,0.3798407
387,0.43893763
388,0.48387793
389,0.66296995
390,0.3410682
391,0.45556268
392,0.38954562
393,0.64455295
394,0.62298316
395,0.5739428
396,0.56696105
397,0.54996943
398,0.57600904
399,0.63720965
400,0.57127166
401,0.572464
402,0.58506614
403,0.3791773
404,0.660167
405,0.6719811
406,0.29918122
407,0.36539763
408,0.3341964
409,0.29442284
410,0.2719526
411,0.4075718
412,0.42933905
413,0.23036706
414,0.2762051
415,0.2774379
416,0.28049013
417,0.34199762
418,0.50980717
419,0.5129969
420,0.43458116
421,0.41506326
422,0.35897148
423,0.3428599
424,0.31947705
425,0.2997452
426,0.30161843
427,0.28347537
428,0.30183685
429,0.3053263
430,0.2519954
431,0.27054554
432,0.250424
433,0.23615393
434,0.2902005
435,0.23424807
436,0.20431197
437,0.1923562
438,0.16673201
439,0.14628881
440,0.16987672
441,0.16080232
442,0.16673559
443,0.18125102
444,0.2250824
445,0.24307784
446,0.2757356
447,0.25060886
448,0.21627045
449,0.25728136
450,0.26586944
451,0.30337298
452,0.27902046
453,0.21422902
454,0.22631317
455,0.24191901
456,0.24473134
457,0.22624794
458,0.19740981
459,0.23067367
460,0.26550126
461,0.24838176
462,0.27484736
463,0.34212393
464,0.39931387
465,0.4164644
466,0.36455917
467,0.28046086
468,0.28794575
469,0.28850523
470,0.34367323
471,0.4862139
472,0.46440133
473,0.34348112
474,0.39851967
475,0.41649812
476,0.4327038
477,0.34162918
478,0.37150097
479,0.48264968
480,0.43481287
481,0.3803355
482,0.3844539
483,0.36606258
484,0.43485117
485,0.4575406
486,0.44525576
487,0.4647713
488,0.51838636
489,0.51568407
490,0.4870564
491,0.50121164
492,0.54675895
493,0.5815416
494,0.6081698
495,0.5341865
496,0.5757035
497,0.6104399
498,0.5586879
499,0.5313712
500,0.52437556
501,0.5916212
502,0.6262972
503,0.6647976
504,0.62971354
505,0.6039515
506,0.65117717
507,0.6871538
508,0.67462426
509,0.6569887
510,0.70215875
511,0.6919161
512,0.6813962
513,0.6551633
514,0.64505386
515,0.68125653
516,0.64286554
517,0.5778004
