DateTime,Quality status,Resolution code,Net regulation volume,System imbalance,Alpha,Marginal incremental price,Marginal decremental price,Strategic reserve price,Positive imbalance price,Negative imbalance price
2023-01-01T13:15:00+01:00,Validated,PT15M,126.889,-132.997,0.0,184.87,-10.0,,184.87,184.87
2023-01-01T13:30:00+01:00,Validated,PT15M,138.755,-146.763,0.0,304.25,-10.0,,304.25,304.25
2023-01-01T13:45:00+01:00,Validated,PT15M,53.413,-33.557,0.0,304.25,-10.76,,304.25,304.25
2023-01-01T14:00:00+01:00,Validated,PT15M,-209.442,261.488,1.36,184.87,-55.51,,-56.87,-56.87
2023-01-01T14:15:00+01:00,Validated,PT15M,-67.865,43.434,0.0,271.12,-84.9,,-84.9,-84.9
2023-01-01T14:30:00+01:00,Validated,PT15M,59.244,-98.864,0.0,194.68,-10.0,,194.68,194.68
2023-01-01T14:45:00+01:00,Validated,PT15M,139.907,-175.765,0.95,282.17,-10.0,,283.12,283.12
2023-01-01T15:00:00+01:00,Validated,PT15M,-162.114,162.499,2.49,184.87,-10.0,,-12.49,-12.49
2023-01-01T15:15:00+01:00,Validated,PT15M,-73.299,61.309,0.0,184.87,-10.0,,-10.0,-10.0
2023-01-01T15:30:00+01:00,Validated,PT15M,55.277,-100.03,0.0,194.65,-10.0,,194.65,194.65
2023-01-01T15:45:00+01:00,Validated,PT15M,164.238,-178.442,1.44,226.95,-10.0,,228.38,228.38
2023-01-01T16:00:00+01:00,Validated,PT15M,-17.506,-1.102,0.0,184.87,-10.0,,184.87,184.87
2023-01-01T16:15:00+01:00,Validated,PT15M,38.436,-61.535,0.0,184.87,-10.0,,184.87,184.87
2023-01-01T16:30:00+01:00,Validated,PT15M,79.632,-167.056,0.99,226.44,-10.0,,227.43,227.43
2023-01-01T16:45:00+01:00,Validated,PT15M,196.23,-478.847,13.48,291.35,-10.0,,304.83,304.83
2023-01-01T17:00:00+01:00,Validated,PT15M,131.57,-136.245,0.0,309.47,-10.0,,309.47,309.47
2023-01-01T17:15:00+01:00,Validated,PT15M,18.943,-38.942,0.0,229.4,-5.07,,229.4,229.4
2023-01-01T17:30:00+01:00,Validated,PT15M,-68.403,49.296,0.0,229.4,-5.0,,-5.0,-5.0
2023-01-01T17:45:00+01:00,Validated,PT15M,-3.441,-10.012,0.0,229.4,-6.52,,229.4,229.4
2023-01-01T18:00:00+01:00,Validated,PT15M,-21.912,-0.627,0.0,229.4,-53.24,,229.4,229.4
2023-01-01T18:15:00+01:00,Validated,PT15M,-7.089,4.988,0.0,223.4,-6.77,,-6.77,-6.77
2023-01-01T18:30:00+01:00,Validated,PT15M,-36.006,33.657,0.0,226.49,-139.88,,-139.88,-139.88
2023-01-01T18:45:00+01:00,Validated,PT15M,82.232,-102.575,0.0,223.4,-5.93,,223.4,223.4
2023-01-01T19:00:00+01:00,Validated,PT15M,309.805,-328.288,5.27,184.87,-5.0,,190.14,190.14
2023-01-01T19:15:00+01:00,Validated,PT15M,366.325,-381.301,0.0,408.11,-10.0,,408.11,408.11
2023-01-01T19:30:00+01:00,Validated,PT15M,226.007,-220.121,0.0,427.2,-47.38,,427.2,427.2
2023-01-01T19:45:00+01:00,Validated,PT15M,67.981,-74.105,0.0,408.11,-283.34,,408.11,408.11
2023-01-01T20:00:00+01:00,Validated,PT15M,143.704,-176.535,0.67,300.0,68.58,,300.67,300.67
2023-01-01T20:15:00+01:00,Validated,PT15M,79.984,-85.87,0.0,300.0,52.74,,300.0,300.0
2023-01-01T20:30:00+01:00,Validated,PT15M,-20.287,30.644,0.0,300.0,-26.98,,-26.98,-26.98
2023-01-01T20:45:00+01:00,Validated,PT15M,-46.688,71.85,0.0,184.87,-147.44,,-147.44,-147.44
2023-01-01T21:00:00+01:00,Validated,PT15M,-141.592,94.948,0.0,186.92,-129.36,,-129.36,-129.36
2023-01-01T21:15:00+01:00,Validated,PT15M,-120.669,181.325,0.48,179.87,-141.18,,-141.66,-141.66
2023-01-01T21:30:00+01:00,Validated,PT15M,-183.416,164.627,0.19,179.87,-186.66,,-186.85,-186.85
2023-01-01T21:45:00+01:00,Validated,PT15M,-193.861,372.547,3.29,179.87,-143.07,,-146.36,-146.36
2023-01-01T22:00:00+01:00,Validated,PT15M,-319.196,240.887,0.72,329.98,-192.78,,-193.5,-193.5
2023-01-01T22:15:00+01:00,Validated,PT15M,-166.282,172.63,4.63,189.32,0.0,,-4.63,-4.63
2023-01-01T22:30:00+01:00,Validated,PT15M,-495.955,473.545,21.25,179.88,-29.03,,-50.28,-50.28
2023-01-01T22:45:00+01:00,Validated,PT15M,-232.74,182.27,3.31,182.8,-175.0,,-178.31,-178.31
2023-01-01T23:00:00+01:00,Validated,PT15M,-275.659,272.753,6.32,175.0,68.53,,62.21,62.21
2023-01-01T23:15:00+01:00,Validated,PT15M,-322.401,303.325,2.45,175.0,-168.0,,-170.45,-170.45
2023-01-01T23:30:00+01:00,Validated,PT15M,-303.386,306.275,3.1,175.0,-168.0,,-171.1,-171.1
